料理名,カテゴリー,カロリー,たんぱく質,脂質,糖質,画像URL
親子丼,和食,720,30,20,80,https://example.com/oyakodon.jpg
カレーライス,洋食,850,25,30,90,https://example.com/curry.jpg
チキンサラダ,サラダ,450,35,15,20,https://example.com/salad.jpg
サーモン丼,和食,600,40,18,45,https://example.com/salmon.jpg
オムライス,洋食,780,28,32,85,https://example.com/omurice.jpg
焼き魚定食,和食,650,38,22,10,https://example.com/grilledfish.jpg
牛丼,和食,780,35,25,85,https://example.com/gyudon.jpg
ミートスパゲッティ,洋食,900,30,40,100,https://example.com/spaghetti.jpg
シーザーサラダ,サラダ,400,20,18,15,https://example.com/caesarsalad.jpg
チャーハン,中華,800,28,35,90,https://example.com/friedrice.jpg
麻婆豆腐,中華,700,32,28,60,https://example.com/mapotofu.jpg
餃子,中華,600,25,20,45,https://example.com/gyoza.jpg
カプレーゼ,サラダ,350,18,22,8,https://example.com/caprese.jpg
パンケーキ,スイーツ,550,15,20,75,https://example.com/pancake.jpg
ローストビーフ,洋食,750,40,30,10,https://example.com/roastbeef.jpg
天ぷら盛り合わせ,和食,900,33,40,80,https://example.com/tempura.jpg
トマトスープ,洋食,300,10,12,25,https://example.com/tomatosoup.jpg
豆腐サラダ,サラダ,380,25,10,15,https://example.com/tofusalada.jpg
ナポリタン,洋食,820,28,35,90,https://example.com/napolitan.jpg
プリン,スイーツ,420,8,18,55,https://example.com/pudding.jpg
鮭の塩焼き,和食,500,35,15,5,https://example.com/salmongrilled.jpg
野菜カレー,洋食,600,20,15,80,https://example.com/vegetablecurry.jpg
ポテトサラダ,サラダ,350,10,25,30,https://example.com/potatosalad.jpg
チキン照り焼き,和食,700,40,22,50,https://example.com/chickenteriyaki.jpg
クリームシチュー,洋食,650,25,35,40,https://example.com/creamstew.jpg
わかめスープ,和食,150,8,3,10,https://example.com/wakamesoup.jpg
エビチリ,中華,750,38,20,60,https://example.com/echiri.jpg
